roi_ids_rem,degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg
1,13.711940796881228,158.88888888888889,30.300870365566677,29.327604948233013,29.60441580697733,0.08176828902184935,0.002911286723956759
2,12.824452074009375,148.05555555555554,26.13041951921251,29.000159294727407,29.475060829948184,0.08367617519523324,0.0029886571375106158
3,9.80182327992715,142.11111111111111,26.352557473712498,29.843377490842038,29.79397886471524,0.06483631096223105,0.002777237984194844
6,3.413638526747463,98.0,32.497535122765434,30.14624977334642,30.009055572641266,0.03209930442448576,0.004662916900577219
7,6.26631216180487,117.44444444444444,32.61418840620253,29.957880018713354,29.713613081508097,0.048618690141709164,0.003458277554663097
8,9.715399787177711,143.27777777777777,24.402567121717667,29.26263259437191,29.4407310650117,0.06460641822450862,0.0030120481927710845
10,5.298616570488664,116.11111111111111,36.84918604956733,29.77823342569317,29.60247703235056,0.04009383227655051,0.0037173784744713623
11,7.201392206663276,119.83333333333333,27.998856650458443,29.770957217689222,29.66195731401489,0.05796082077522799,0.0034636754904924356
13,8.012150538456916,137.22222222222223,30.85598956214057,29.378266551658132,29.485965683157517,0.054765183720934286,0.0033242288149011815
14,6.524929076448443,128.05555555555554,28.017965740627712,29.454159796653414,29.48518281604101,0.046693527429276176,0.003720977098357588
19,10.681912061717744,141.33333333333334,27.72723642985026,29.5240530927513,29.623639581037637,0.06938091067582551,0.002662082019835614
20,4.769255361099351,100.11111111111111,27.646986378563774,30.048178318252084,29.745069177867713,0.041705832882357664,0.004035856688402355
21,2.9171598669417595,89.33333333333333,24.111946529812283,29.613784159174045,29.600747985696007,0.03054586510500757,0.004938211627873501
22,1.4215606675365633,55.53333333333333,26.72094096077813,29.816506094570634,30.013310550666073,0.024297013134421508,0.010127427271811257
25,7.376693181804255,137.0,22.862999041875202,29.762150786681225,29.66368572254296,0.04898864784122524,0.003602222510112133
26,5.857468381009994,117.0,30.715914673275417,30.28941630053585,30.02256972751917,0.0461162953992713,0.003750665745418951
27,15.861904789736473,166.38888888888889,33.69790818956163,30.050866591226647,29.698560597198796,0.09186144540190484,0.0018343985260036559
28,9.39709877415897,134.16666666666666,29.314594586690266,29.996864083456963,29.788559939794293,0.06576868329282022,0.0028932936045256295
29,7.372913237186694,132.66666666666666,28.757123523288303,29.763724961814532,29.726977155482846,0.05105445592148308,0.003492464481582243
30,12.331681909446225,154.72222222222223,27.364210923512776,29.407215549074085,29.63380603966972,0.07440739819606462,0.0025595212390781765
