ROI,CN_Ab.neg,CN_Ab.pos,MCI_Ab.neg,MCI_Ab.pos,Dementia_Ab.neg,Dementia_Ab.pos
rV1,1.0050401162790696,1.1708906976744184,0.9986734177215192,1.2516305263157894,0.982057142857143,1.337714
rMST,1.2321372093023255,1.4787782945736436,1.1848860759493671,1.624742105263158,1.2514714285714288,1.729376
rV6,1.1704877906976745,1.3542441860465115,1.1279645569620254,1.3882568421052632,1.1907,1.4594280000000004
rV2,0.9814581395348837,1.1355062015503876,0.9737164556962028,1.1997336842105264,0.9709857142857142,1.2649420000000002
rV3,1.0323680232558141,1.1860294573643413,1.0245101265822782,1.2377842105263157,1.0189142857142859,1.306842
rV4,1.127932558139535,1.3116201550387598,1.1262518987341772,1.367615789473684,1.1306142857142856,1.443974
rV8,1.1017377906976744,1.287832558139535,1.1131696202531647,1.3535842105263156,1.139242857142857,1.4373820000000002
r4,1.027929069767442,1.1716573643410853,1.0073063291139244,1.2158136842105263,0.9981000000000001,1.249342
r3b,1.010342441860465,1.1647372093023256,0.9743898734177214,1.2323126315789474,0.9982571428571428,1.273222
rFEF,1.0000622093023255,1.2258426356589147,0.975353164556962,1.3121473684210527,1.0021142857142855,1.3864839999999998
rPEF,1.2014587209302325,1.4619627906976747,1.17106582278481,1.5371031578947367,1.2578285714285715,1.6038579999999998
r55b,0.9431226744186045,1.1636046511627909,0.9177430379746837,1.2629515789473684,0.9302999999999999,1.3347180000000003
rV3A,1.0438872093023257,1.179537984496124,1.0276240506329115,1.1990021052631579,1.0346142857142857,1.27075
rRSC,1.1008459302325582,1.3490116279069766,1.072473417721519,1.4104126315789476,1.0624,1.46455
rPOS2,1.0486633720930232,1.3539294573643412,1.024262025316456,1.477341052631579,1.0173571428571428,1.574082
rV7,1.041550581395349,1.23144496124031,1.0153202531645569,1.2854915789473684,1.0061,1.3631180000000003
rIPS1,1.1788406976744186,1.4480806201550387,1.1347417721518986,1.5469757894736837,1.1748142857142858,1.6402020000000002
rFFC,0.9918069767441859,1.1866441860465116,0.9825,1.2865884210526315,0.9771428571428571,1.3878119999999998
rV3B,1.3225627906976745,1.5390418604651164,1.291974683544304,1.5970105263157892,1.293357142857143,1.6742739999999998
rLO1,1.112760465116279,1.3209527131782945,1.110064556962025,1.4241463157894738,1.1097857142857142,1.5411320000000002
rLO2,0.9600988372093023,1.1685232558139536,0.954827848101266,1.242818947368421,1.0448857142857142,1.345616
rPIT,0.9632319767441861,1.1584449612403098,0.9602784810126583,1.2612547368421052,0.9970714285714285,1.3635780000000002
rMT,1.072800581395349,1.314327906976744,1.021907594936709,1.4214431578947369,1.0490142857142855,1.554206
rA1,1.0546331395348838,1.240105426356589,1.0314379746835443,1.3140526315789476,1.0455571428571429,1.359492
rPSL,0.9188895348837212,1.1864992248062014,0.8885101265822787,1.2942315789473684,0.9192142857142857,1.3603960000000002
rSFL,0.7515877906976745,0.9806860465116279,0.7250860759493669,1.1254199999999999,0.7955142857142858,1.2090139999999998
rPCV,0.9567593023255813,1.3105751937984496,0.936146835443038,1.4769936842105267,0.8991714285714286,1.577672
rSTV,1.0298226744186048,1.3252821705426356,1.0258379746835442,1.4343757894736844,1.037542857142857,1.5296379999999998
r7Pm,0.9148412790697676,1.2271209302325583,0.892707594936709,1.3888715789473685,0.8347571428571428,1.49261
r7m,0.983693023255814,1.353339534883721,0.9598443037974681,1.512061052631579,0.9102142857142858,1.638426
rPOS1,1.020422093023256,1.2826038759689922,1.0099873417721517,1.3718421052631578,0.9482857142857144,1.463772
r23d,0.9533494186046514,1.2907178294573645,0.9162531645569623,1.4337673684210523,0.9124714285714287,1.5377360000000002
rv23ab,0.9944779069767443,1.2987891472868218,0.9777645569620255,1.4268157894736846,0.9820714285714286,1.5240239999999998
rd23ab,0.9880767441860466,1.3600131782945737,0.9647784810126583,1.5116757894736843,0.9798142857142856,1.63656
r31pv,1.1362267441860465,1.499146511627907,1.1163708860759494,1.6417315789473685,1.1228571428571428,1.74186
r5m,0.9057761627906978,1.0942372093023258,0.8801658227848101,1.174096842105263,0.8854714285714286,1.2399639999999998
r5mv,1.1763331395348837,1.4435170542635658,1.150232911392405,1.535934736842105,1.1884571428571429,1.5998360000000003
r23c,1.1284808139534883,1.4468372093023258,1.0977341772151898,1.551378947368421,1.1473,1.6392159999999998
r5L,0.8298122093023257,1.0367906976744186,0.8045367088607595,1.1375842105263156,0.7957571428571429,1.223432
r24dd,1.1237918604651163,1.3430341085271318,1.1047531645569624,1.4237989473684207,1.1054285714285716,1.497082
r24dv,1.21444011627907,1.459575968992248,1.1943037974683548,1.5500610526315788,1.2463999999999997,1.6282560000000001
r7AL,0.9081901162790698,1.1526046511627908,0.8661075949367089,1.2664484210526317,0.8903714285714285,1.36987
rSCEF,0.9807319767441861,1.2169077519379847,0.9645620253164555,1.3469336842105264,1.0069285714285716,1.398504
r6ma,0.8146313953488372,1.0412581395348839,0.7949063291139241,1.1655863157894737,0.837642857142857,1.244678
r7Am,0.8375017441860465,1.1273317829457365,0.8226189873417721,1.2558894736842106,0.8203571428571428,1.3705359999999995
r7PL,0.875663953488372,1.15865503875969,0.8420620253164558,1.2800852631578947,0.8439857142857142,1.38042
r7PC,0.8343174418604651,1.0691356589147287,0.7966088607594937,1.171041052631579,0.8590285714285715,1.265098
rLIPv,1.0753412790697676,1.3391689922480619,1.0401632911392404,1.4539084210526314,1.0281428571428572,1.548386
rVIP,0.8881494186046511,1.1272581395348835,0.8519050632911395,1.2617484210526317,0.8993285714285714,1.3438639999999997
rMIP,1.1178552325581395,1.4182542635658917,1.0753873417721518,1.5108126315789476,1.0703142857142858,1.6321160000000001
r1,0.759939534883721,0.9062713178294572,0.7315202531645569,0.957077894736842,0.7300857142857142,1.030516
r2,1.0830767441860465,1.3070441860465114,1.0452417721518985,1.375126315789474,1.0620142857142858,1.4519419999999998
r3a,1.2643511627906976,1.4293736434108528,1.239887341772152,1.4661042105263158,1.277642857142857,1.488038
r6d,0.877849418604651,1.022075968992248,0.8514025316455694,1.0732221052631579,0.8679142857142857,1.100228
r6mp,0.9430796511627907,1.1044868217054267,0.9260506329113926,1.1957821052631579,0.9497857142857143,1.229246
r6v,0.8461755813953488,1.0269178294573642,0.832379746835443,1.0964294736842104,0.8644857142857143,1.144728
rp24pr,0.9654668604651162,1.2498612403100775,0.9389658227848104,1.373308421052632,0.9008,1.470344
r33pr,1.134764534883721,1.3996007751937984,1.0798240506329113,1.434605263157895,1.0934142857142857,1.4720720000000003
ra24pr,0.9384784883720929,1.256774418604651,0.9136873417721516,1.3601757894736843,0.920342857142857,1.4545759999999999
rp32pr,1.2062720930232558,1.5113837209302325,1.1758493670886077,1.6061547368421052,1.2155857142857145,1.6677000000000002
ra24,1.096904069767442,1.4201186046511631,1.0688848101265824,1.5304473684210524,1.1560000000000001,1.6158359999999996
